Label,Count
Gerygone fusca_Western Gerygone,115
Geopelia placida_Peaceful Dove,301
Geopelia humeralis_Bar-shouldered Dove,281
Geopelia cuneata_Diamond Dove,185
Gelochelidon macrotarsa_Australian Tern,110
Gallirallus philippensis_Buff-banded Rail,253
Gallinula tenebrosa_Dusky Moorhen,110
Gallinago hardwickii_Latham's Snipe,117
Fulica atra_Eurasian Coot,107
Froggattina australis_Froggatt's Buzzer,193
Falcunculus frontatus_Eastern Shrike-tit,127
Falco subniger_Black Falcon,40
Falco peregrinus_Peregrine Falcon,148
Falco longipennis_Australian Hobby,117
Falco cenchroides_Nankeen Kestrel,233
Falco berigora_Brown Falcon,234
Eurystomus orientalis_Dollarbird,151
Eurostopodus mystacalis_White-throated Nightjar,243
Eurostopodus argus_Spotted Nightjar,170
Eurepa marginipennis_Mottled Bush Cricket,75
Eudynamys orientalis_Pacific Koel,290
Epthianura tricolor_Crimson Chat,148
Epthianura crocea_Yellow Chat,123
Epthianura aurifrons_Orange Chat,262
Epthianura albifrons_White-fronted Chat,127
Eopsaltria australis_Eastern Yellow Robin,324
Eolophus roseicapilla_Galah,299
Entomyzon cyanotis_Blue-faced Honeyeater,150
Emblema pictum_Painted Finch,145
Elanus axillaris_Black-shouldered Kite,108
Egretta novaehollandiae_White-faced Heron,95
Edolisoma tenuirostre_Sahul Cicadabird,139
Drymomantis fallax_Eastern Dwarf Tree Frog,312
Dromaius novaehollandiae_Emu,65
Diptera_Flies,205
Diemeniana euronotiana_Golden Twanger,81
Dicrurus bracteatus_Spangled Drongo,153
Dicaeum hirundinaceum_Mistletoebird,211
Daphoenositta chrysoptera_Varied Sitella,159
Dacelo novaeguineae_Laughing Kookaburra,308
Cystosoma saundersii_Bladder Cicada,253
Cygnus atratus_Black Swan,198
Cyclochila australasiae_Green Grocer,322
Crinia tinnula_Wallum froglet,207
Crinia signifera_Common Eastern Froglet,307
Crinia parinsignifera_Eastern Sign-bearing Froglet,248
Crinia deserticola_Desert Froglet,110
Cracticus torquatus_Grey Butcherbird,287
Cracticus nigrogularis_Pied Butcherbird,250
Coturnix pectoralis_Stubble Quail,227
Corvus tasmanicus_Forest Raven,152
Corvus orru_Torresian Crow,138
Corvus mellori_Little Raven,271
Corvus coronoides_Australian Raven,244
Corvus bennetti_Little Crow,284
Cormobates leucophaea_White-throated Treecreeper,309
Corcorax melanorhamphos_White-winged Chough,219
Coracina papuensis_White-bellied Cuckooshrike,96
Coracina novaehollandiae_Black-faced Cuckooshrike,240
Conocephalus upoluensis_Greenish Meadow Katydid,169
Conocephalus semivittatus_Blackish Meadow Katydid,53
Conocephalus albescens_Whittish Meadow Katydid,300
Columba livia_Rock Pigeon,197
Columba leucomela_White-headed Pigeon,154
Colluricincla harmonica_Gray Shrikethrush,267
Colleeneremia rubella_Desert Tree Frog,155
Colleeneremia quiritatus_Screaming Tree Frog,215
Climacteris picumnus_Brown Treecreeper,120
Climacteris erythrops_Red-browed Treecreeper,128
Cisticola exilis_Golden-headed Cisticola,191
Circus approximans_Swamp Harrier,164
Cinclosoma punctatum_Spotted Quail-thrush,123
Cinclosoma cinnamomeum_Cinnamon Quail-thrush,258
Cincloramphus mathewsi_Rufous Songlark,189
Cincloramphus cruralis_Brown Songlark,320
Chroicocephalus novaehollandiae_Silver Gull,191
Cheramoeca leucosterna_White-backed Swallow,197
Chenonetta jubata_Maned Duck,203
Chalcophaps longirostris_Pacific Emerald Dove,160
Chalcites osculans_Black-eared Cuckoo,188
Chalcites lucidus_Shining Bronze-Cuckoo,187
Chalcites basalis_Horsfield's Bronze-Cuckoo,289
Ceyx azureus_Azure Kingfisher,134
Certhionyx variegatus_Pied Honeyeater,130
Centropus phasianinus_Pheasant Coucal,186
Capra hircus_Goat,303
Canis lupus dingo_Dingo,320
Canis lupis familiaris_Domestic Dog,263
Calyptorhynchus lathami_Glossy Black-Cockatoo,194
Calyptorhynchus funereus_Yellow-tailed Black-Cockatoo,336
Calyptorhynchus banksii_Red-tailed Black-Cockatoo,194
Callocephalon fimbriatum_Gang-gang Cockatoo,112
Caligavis chrysops_Yellow-faced Honeyeater,143
Cacomantis variolosus_Sahul Brush Cuckoo,177
Cacomantis flabelliformis_Fan-tailed Cuckoo,320
Cacatua tenuirostris_Long-billed Corella,120
Cacatua sanguinea_Little Corella,309
Cacatua leadbeateri_Pink Cockatoo,168
Cacatua galerita_Sulphur-crested Cockatoo,293
Bos taurus_Cattle,176
Biziura lobata_Musk Duck,119
Barnardius zonarius_Australian Ringneck,198
Aythya australis_Hardhead,81
Austrosalomona falcata_Olive-green Coastal Katydid,141
Atrapsalta corticina_Bark Squeaker,186
Arunta perulata_White Drummer,293
Artamus superciliosus_White-browed Woodswallow,271
Artamus minor_Little Woodswallow,98
Artamus leucorynchus_White-breasted Woodswallow,113
Artamus cyanopterus_Dusky Woodswallow,143
Artamus cinereus_Black-faced Woodswallow,111
Ardea pacifica_White-necked Heron,67
Aquila audax_Wedge-tailed Eagle,124
Aprosmictus erythropterus_Red-winged Parrot,65
Aphelocephala nigricincta_Banded Whiteface,123
Aphelocephala leucopsis_Southern Whiteface,141
Anthus novaeseelandiae_Australian Pipit,295
Anthochaera phrygia_Regent Honeyeater,317
Anthochaera chrysoptera_Little Wattlebird,214
Anthochaera carunculata_Red Wattlebird,232
Anhinga novaehollandiae_Australasian Darter,61
Anas superciliosa_Pacific Black Duck,133
Anas gracilis_Grey Teal,198
Amytornis modestus_Thick-billed Grasswren,319
Amytornis goyderi_Eyrean Grasswren,201
Amytornis barbatus_Grey Grasswren,137
